Matricule,Dispo,Presel,Enga,Comp
806,[],[],[],"['CAFDF', 'CAFEMUL', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CEINC', 'CODBRRS', 'CODEI', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'COFEMUL', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV']"
877,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
916,[],[],[],"['CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CODEI', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
924,[],[],[],"['CAFDF', 'CAFEMUL', 'CAINCTE', 'CAMEA', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CODEI', 'CODEMB', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'COFEMUL', 'ECHEL', 'EOBVSAV', 'EQCOD6P', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'PHOTO']"
972,[],[],[],"['ASTTRS', 'CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CODEI', 'CODEMB', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'SAUVIMP']"
993,[],[],[],"['CAFDF', 'CAFEMUL', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CEPELI', 'CODEI', 'CODEMB', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'COFEMUL', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQPELI', 'EQVSAV', 'EQVSR', 'OBSHORU']"
1011,[],[],[],"['CAFDF', 'CAOPD', 'CAVSAV', 'CEINC', 'CODBRRS', 'CODEI', 'CODEMB', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'ECHEL', 'EOBVSAV', 'EQCOD6P', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR']"
1049,[],[],[],"['CAFDF', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CC', 'CEINC', 'CG', 'CGFDF', 'CODVLHR', 'CODVLR', 'CODVSAV', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'OFFACTI', 'OFFCRM', 'OFFEVAC', 'OFFGEST', 'OFFMOY', 'OFFPMA', 'OFFRAMA', 'OFFRENS']"
1073,[],[],[],['MED']
1075,[],[],[],"['CAFDF', 'CAFEMUL', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CECELAR', 'CEINC', 'CG', 'CODBRRS', 'CODEI', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'COFEMUL', 'EOBVSAV', 'EQCELAR', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'OFFCRM', 'OFFEVAC', 'OFFGEST', 'OFFPMA', 'OFFRAMA']"
1080,[],[],[],"['CAFDF', 'CAFEMUL', 'CAINCTE', 'CAOPD', 'CAVSAV', 'CAVSR', 'CEINC', 'CG', 'CODEI', 'CODPLHR', 'CODVLHR', 'CODVLR', 'CODVSAV', 'COFEMUL', 'EOBVSAV', 'EQFDF', 'EQINC', 'EQODHYM', 'EQOPD', 'EQVSAV', 'EQVSR', 'OFFCRM', 'OFFEVAC', 'OFFGEST', 'OFFPMA', 'OFFRAMA']"
